Sexo;Edad;Funciones;Periodo;Total
Ambos sexos;0 años;Tasa de mortalidad;1990;7,681695
Ambos sexos;0 años;Tasa de mortalidad;1989;7,800084
Ambos sexos;0 años;Tasa de mortalidad;1988;8,047599
Ambos sexos;0 años;Tasa de mortalidad;1987;8,817856
Ambos sexos;0 años;Tasa de mortalidad;1986;9,077656
Ambos sexos;0 años;Tasa de mortalidad;1985;8,826765
Ambos sexos;0 años;Tasa de mortalidad;1984;9,796047
Ambos sexos;0 años;Tasa de mortalidad;1983;10,636995
Ambos sexos;0 años;Tasa de mortalidad;1982;10,947428
Ambos sexos;0 años;Tasa de mortalidad;1981;11,84407
Ambos sexos;0 años;Tasa de mortalidad;1980;12,111929
Ambos sexos;0 años;Tasa de mortalidad;1979;14,092184
Ambos sexos;0 años;Tasa de mortalidad;1978;15,283152
Ambos sexos;0 años;Tasa de mortalidad;1977;16,043152
Ambos sexos;0 años;Tasa de mortalidad;1976;17,474514
Ambos sexos;0 años;Tasa de mortalidad;1975;18,852158
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1990;0,129123
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1989;0,127148
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1988;0,136145
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1987;0,124851
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1986;0,124885
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1985;0,128891
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1984;0,127126
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1983;0,122528
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1982;0,120614
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1981;0,118069
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1980;0,122883
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1979;0,118893
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1978;0,118926
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1977;0,118017
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1976;0,116855
Ambos sexos;0 años;Promedio de años vividos el último año de vida;1975;0,125849
Ambos sexos;0 años;Riesgo de muerte;1990;7,630648
Ambos sexos;0 años;Riesgo de muerte;1989;7,747337
Ambos sexos;0 años;Riesgo de muerte;1988;7,992039
Ambos sexos;0 años;Riesgo de muerte;1987;8,75033
Ambos sexos;0 años;Riesgo de muerte;1986;9,006112
Ambos sexos;0 años;Riesgo de muerte;1985;8,759413
Ambos sexos;0 años;Riesgo de muerte;1984;9,712994
Ambos sexos;0 años;Riesgo de muerte;1983;10,538631
Ambos sexos;0 años;Riesgo de muerte;1982;10,843042
Ambos sexos;0 años;Riesgo de muerte;1981;11,72163
Ambos sexos;0 años;Riesgo de muerte;1980;11,984609
Ambos sexos;0 años;Riesgo de muerte;1979;13,919351
Ambos sexos;0 años;Riesgo de muerte;1978;15,080089
Ambos sexos;0 años;Riesgo de muerte;1977;15,819312
Ambos sexos;0 años;Riesgo de muerte;1976;17,208936
Ambos sexos;0 años;Riesgo de muerte;1975;18,546518
Ambos sexos;0 años;Supervivientes;1990;100.000
Ambos sexos;0 años;Supervivientes;1989;100.000
Ambos sexos;0 años;Supervivientes;1988;100.000
Ambos sexos;0 años;Supervivientes;1987;100.000
Ambos sexos;0 años;Supervivientes;1986;100.000
Ambos sexos;0 años;Supervivientes;1985;100.000
Ambos sexos;0 años;Supervivientes;1984;100.000
Ambos sexos;0 años;Supervivientes;1983;100.000
Ambos sexos;0 años;Supervivientes;1982;100.000
Ambos sexos;0 años;Supervivientes;1981;100.000
Ambos sexos;0 años;Supervivientes;1980;100.000
Ambos sexos;0 años;Supervivientes;1979;100.000
Ambos sexos;0 años;Supervivientes;1978;100.000
Ambos sexos;0 años;Supervivientes;1977;100.000
Ambos sexos;0 años;Supervivientes;1976;100.000
Ambos sexos;0 años;Supervivientes;1975;100.000
Ambos sexos;0 años;Defunciones teóricas;1990;763,064755
Ambos sexos;0 años;Defunciones teóricas;1989;774,733732
Ambos sexos;0 años;Defunciones teóricas;1988;799,203893
Ambos sexos;0 años;Defunciones teóricas;1987;875,033016
Ambos sexos;0 años;Defunciones teóricas;1986;900,61118
Ambos sexos;0 años;Defunciones teóricas;1985;875,941345
Ambos sexos;0 años;Defunciones teóricas;1984;971,29944
Ambos sexos;0 años;Defunciones teóricas;1983;1.053,863103
Ambos sexos;0 años;Defunciones teóricas;1982;1.084,304199
Ambos sexos;0 años;Defunciones teóricas;1981;1.172,16299
Ambos sexos;0 años;Defunciones teóricas;1980;1.198,460945
Ambos sexos;0 años;Defunciones teóricas;1979;1.391,935119
Ambos sexos;0 años;Defunciones teóricas;1978;1.508,00892
Ambos sexos;0 años;Defunciones teóricas;1977;1.581,931236
Ambos sexos;0 años;Defunciones teóricas;1976;1.720,89361
Ambos sexos;0 años;Defunciones teóricas;1975;1.854,651822
Ambos sexos;0 años;Población estacionaria;1990;99.335,464359
Ambos sexos;0 años;Población estacionaria;1989;99.323,771745
Ambos sexos;0 años;Población estacionaria;1988;99.309,603453
Ambos sexos;0 años;Población estacionaria;1987;99.234,215588
Ambos sexos;0 años;Población estacionaria;1986;99.211,861229
Ambos sexos;0 años;Población estacionaria;1985;99.236,95973
Ambos sexos;0 años;Población estacionaria;1984;99.152,178294
Ambos sexos;0 años;Población estacionaria;1983;99.075,264353
Ambos sexos;0 años;Población estacionaria;1982;99.046,478027
Ambos sexos;0 años;Población estacionaria;1981;98.966,233478
Ambos sexos;0 años;Población estacionaria;1980;98.948,809402
Ambos sexos;0 años;Población estacionaria;1979;98.773,556399
Ambos sexos;0 años;Población estacionaria;1978;98.671,332144
Ambos sexos;0 años;Población estacionaria;1977;98.604,763578
Ambos sexos;0 años;Población estacionaria;1976;98.480,200609
Ambos sexos;0 años;Población estacionaria;1975;98.378,754444
Ambos sexos;0 años;Tiempo por vivir;1990;7.690.549,1998
Ambos sexos;0 años;Tiempo por vivir;1989;7.690.275,5042
Ambos sexos;0 años;Tiempo por vivir;1988;7.685.934,185
Ambos sexos;0 años;Tiempo por vivir;1987;7.684.488,3195
Ambos sexos;0 años;Tiempo por vivir;1986;7.661.335,3251
Ambos sexos;0 años;Tiempo por vivir;1985;7.634.018,7275
Ambos sexos;0 años;Tiempo por vivir;1984;7.638.579,5789
Ambos sexos;0 años;Tiempo por vivir;1983;7.601.501,3393
Ambos sexos;0 años;Tiempo por vivir;1982;7.622.320,866
Ambos sexos;0 años;Tiempo por vivir;1981;7.561.324,3245
Ambos sexos;0 años;Tiempo por vivir;1980;7.543.934,5587
Ambos sexos;0 años;Tiempo por vivir;1979;7.490.629,0922
Ambos sexos;0 años;Tiempo por vivir;1978;7.443.512,3018
Ambos sexos;0 años;Tiempo por vivir;1977;7.424.234,5296
Ambos sexos;0 años;Tiempo por vivir;1976;7.375.544,2014
Ambos sexos;0 años;Tiempo por vivir;1975;7.343.772,76
Ambos sexos;0 años;Esperanza de vida;1990;76,905492
Ambos sexos;0 años;Esperanza de vida;1989;76,902755
Ambos sexos;0 años;Esperanza de vida;1988;76,859342
Ambos sexos;0 años;Esperanza de vida;1987;76,844883
Ambos sexos;0 años;Esperanza de vida;1986;76,613353
Ambos sexos;0 años;Esperanza de vida;1985;76,340187
Ambos sexos;0 años;Esperanza de vida;1984;76,385796
Ambos sexos;0 años;Esperanza de vida;1983;76,015013
Ambos sexos;0 años;Esperanza de vida;1982;76,223209
Ambos sexos;0 años;Esperanza de vida;1981;75,613243
Ambos sexos;0 años;Esperanza de vida;1980;75,439346
Ambos sexos;0 años;Esperanza de vida;1979;74,906291
Ambos sexos;0 años;Esperanza de vida;1978;74,435123
Ambos sexos;0 años;Esperanza de vida;1977;74,242345
Ambos sexos;0 años;Esperanza de vida;1976;73,755442
Ambos sexos;0 años;Esperanza de vida;1975;73,437728
Ambos sexos;1 año;Tasa de mortalidad;1990;0,731756
Ambos sexos;1 año;Tasa de mortalidad;1989;0,640085
Ambos sexos;1 año;Tasa de mortalidad;1988;0,729242
Ambos sexos;1 año;Tasa de mortalidad;1987;0,641485
Ambos sexos;1 año;Tasa de mortalidad;1986;0,794298
Ambos sexos;1 año;Tasa de mortalidad;1985;0,793293
Ambos sexos;1 año;Tasa de mortalidad;1984;0,818481
Ambos sexos;1 año;Tasa de mortalidad;1983;0,92144
Ambos sexos;1 año;Tasa de mortalidad;1982;0,86995
Ambos sexos;1 año;Tasa de mortalidad;1981;0,961338
Ambos sexos;1 año;Tasa de mortalidad;1980;1,051767
Ambos sexos;1 año;Tasa de mortalidad;1979;1,103804
Ambos sexos;1 año;Tasa de mortalidad;1978;1,238098
Ambos sexos;1 año;Tasa de mortalidad;1977;1,178456
Ambos sexos;1 año;Tasa de mortalidad;1976;1,175757
Ambos sexos;1 año;Tasa de mortalidad;1975;1,234593
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1990;0,481294
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1989;0,441575
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1988;0,444665
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1987;0,415195
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1986;0,420079
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1985;0,442157
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1984;0,462711
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1983;0,457967
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1982;0,475647
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1981;0,456024
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1980;0,424535
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1979;0,459169
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1978;0,445228
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1977;0,441595
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1976;0,419717
Ambos sexos;1 año;Promedio de años vividos el último año de vida;1975;0,435071
Ambos sexos;1 año;Riesgo de muerte;1990;0,731478
Ambos sexos;1 año;Riesgo de muerte;1989;0,639857
Ambos sexos;1 año;Riesgo de muerte;1988;0,728947
Ambos sexos;1 año;Riesgo de muerte;1987;0,641245
Ambos sexos;1 año;Riesgo de muerte;1986;0,793933
Ambos sexos;1 año;Riesgo de muerte;1985;0,792942
Ambos sexos;1 año;Riesgo de muerte;1984;0,818121
Ambos sexos;1 año;Riesgo de muerte;1983;0,92098
Ambos sexos;1 año;Riesgo de muerte;1982;0,869553
Ambos sexos;1 año;Riesgo de muerte;1981;0,960836
Ambos sexos;1 año;Riesgo de muerte;1980;1,051131
Ambos sexos;1 año;Riesgo de muerte;1979;1,103145
Ambos sexos;1 año;Riesgo de muerte;1978;1,237248
Ambos sexos;1 año;Riesgo de muerte;1977;1,177681
