Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2022;85,735847
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2021;85,807239
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2020;85,035269
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2019;86,194771
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2018;85,827440
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2017;85,707669
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2016;85,818135
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2015;85,394006
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2014;85,631136
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2013;85,534791
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2012;85,101808
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2011;85,131491
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2010;85,027070
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2009;84,654920
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2008;84,331684
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2007;84,136629
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2006;84,150684
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2005;83,538105
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2004;83,574144
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2003;82,989673
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2002;83,135444
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2001;83,053229
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2000;82,732117
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1999;82,324800
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1998;82,311221
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1997;82,225998
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1996;81,882296
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1995;81,721377
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1994;81,598280
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1993;81,226085
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1992;81,144618
Tipo de dato;Dato base;Sexo;Mujeres;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1991;80,649806
