Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2022;83,080876
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2021;83,025778
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2020;82,283645
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2019;83,533503
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2018;83,150685
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2017;83,054179
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2016;83,078504
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2015;82,673280
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2014;82,906200
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2013;82,770819
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2012;82,262408
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2011;82,250433
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2010;82,067939
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2009;81,663335
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2008;81,297720
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2007;80,969752
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2006;80,943087
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2005;80,280039
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2004;80,286329
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2003;79,703708
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2002;79,761154
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2001;79,670455
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;2000;79,336624
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1999;78,870477
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1998;78,867464
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1997;78,763737
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1996;78,262819
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1995;78,123066
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1994;78,034754
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1993;77,657260
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1992;77,514166
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1991;77,065475
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1990;76,905492
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1989;76,902755
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1988;76,859342
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1987;76,844883
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1986;76,613353
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1985;76,340187
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1984;76,385796
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1983;76,015013
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1982;76,223209
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1981;75,613243
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1980;75,439346
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1979;74,906291
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1978;74,435123
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1977;74,242345
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1976;73,755442
Tipo de dato;Dato base;Sexo;Total;Conceptos Demográficos;Esperanza de vida;Total Nacional;Total Nacional;Valores simples de edad;0 años;1975;73,437728
